station_id,obsTime,ELEV,WDIR,WDSD,TEMP,HUMD,PRES,SUN,H_24R,H_FX,H_XD,H_FXT,D_TX,D_TXT,D_TN,D_TNT
C0S660,2019/8/30 00:00,794,293,1.5,22.5,0.91,924.7,-99,0,-99,-99,-99,29.1,,19.3,
C0M640,2019/8/30 00:00,155,103,0.4,25.7,0.92,991.3,-99,93,-99,-99,-99,31.7,,23.4,
C0R660,2019/8/30 00:00,20,186,1.8,27.2,0.81,1007.6,-99,-99,-99,-99,-99,-999,,-999,
C0UA10,2019/8/30 00:00,1711,326,0.5,18,1,832.5,-99,36,-99,-99,-99,25.9,,15.5,
C0V250,2019/8/30 00:00,298,36,0.8,23.1,0.99,976.9,-99,12,-99,-99,-99,33.2,,23,
C0V770,2019/8/30 00:00,26,75,0.7,28,0.99,1006,-99,0,-99,-99,-99,32.9,,27,
C0E730,2019/8/30 00:00,26,130,0.8,28.8,0.81,1004.3,-99,0,-99,-99,-99,34.3,,25.7,
C0V810,2019/8/30 00:00,32,0,0,27.8,0.98,1004.2,-99,1.5,-99,-99,-99,31.3,,27.4,
C0A9C0,2019/8/30 00:00,35,28,0.5,29.1,0.77,1004.7,-99,0,-99,-99,-99,33.7,,27.7,
C0X310,2019/8/30 00:00,9,128,1.6,27.7,0.89,1008.5,-99,0,-99,-99,-99,31.4,,27.7,
C0K280,2019/8/30 00:00,23,195,1.9,27.1,0.89,1008.4,-99,0,-99,-99,-99,34.1,,26.5,
C0M650,2019/8/30 00:00,20,186,2.7,26.5,0.9,1006.9,-99,0,-99,-99,-99,31.9,,25.8,
C0S910,2019/8/30 00:00,212,352,1.8,26.9,0.98,987.1,-99,1,-99,-99,-99,31.2,,26.3,
C0D570,2019/8/30 00:00,15,118,0.4,27.3,0.95,1006.9,-99,0,-99,-99,-99,32.9,,25.3,
